2241,NOE,Schönkirchen
2242,NOE,Prottes
2243,NOE,Matzen
2244,NOE,Spannberg
2245,NOE,Velm-Götzendorf
2251,NOE,Ebenthal
2252,NOE,Ollersdorf
2253,NOE,Weikendorf
2261,NOE,Angern an der March
2262,NOE,Stillfried
2263,NOE,Dürnkrut
2264,NOE,Jedenspeigen
2265,NOE,Drösing
2272,NOE,Niederabsdorf
2273,NOE,Hohenau an der March
2274,NOE,Rabensburg
2275,NOE,Bernhardsthal
2276,NOE,Reintal
2281,NOE,Raasdorf
2282,NOE,Markgrafneusiedl
2283,NOE,Obersiebenbrunn
2284,NOE,Untersiebenbrunn
2285,NOE,Leopoldsdorf im Marchfelde
2286,NOE,Haringsee
2291,NOE,Lassee
2292,NOE,Engelhartstetten
2293,NOE,Marchegg Stadt
2294,NOE,Marchegg Bahnhof
2295,NOE,Oberweiden
2301,NOE,Groß-Enzersdorf
2304,NOE,Orth an der Donau
2305,NOE,Eckartsau
2320,NOE,Schwechat
2322,NOE,Zwölfaxing
2324,NOE,Schwechat-Rannersdorf
2325,NOE,Himberg
2326,NOE,Maria Lanzendorf
2331,NOE,Vösendorf
2332,NOE,Hennersdorf
2333,NOE,Leopoldsdorf
2334,NOE,Vösendorf
2340,NOE,Mödling
2342,NOE,Mödling
2344,NOE,Maria Enzersdorf
2345,NOE,Brunn am Gebirge
2346,NOE,Maria Enzersdorf-Südstadt
2348,NOE,Mödling
2349,NOE,Mödling
2351,NOE,Wiener Neudorf
2352,NOE,Gumpoldskirchen
2353,NOE,Guntramsdorf
2355,NOE,Wiener Neudorf
2356,NOE,Wiener Neudorf
2361,NOE,Laxenburg
2362,NOE,Biedermannsdorf
2371,NOE,Hinterbrühl
2372,NOE,Gießhübl
2380,NOE,Perchtoldsdorf
2381,NOE,Laab im Walde
2382,NOE,Perchtoldsdorf
2384,NOE,Breitenfurt bei Wien
2391,NOE,Kaltenleutgeben
2392,NOE,Sulz im Wienerwald
2393,NOE,Sittendorf
2401,NOE,Fischamend
2402,NOE,Maria Ellend
2403,NOE,Regelsbrunn
2404,NOE,Petronell
2405,NOE,Bad Deutsch Altenburg
2406,NOE,Haslau an der Donau
2410,NOE,Hainburg an der Donau
2412,NOE,Wolfsthal
2413,NOE,Berg
2421,BGL,Kittsee
2422,BGL,Pama
2423,BGL,Deutsch Jahrndorf
2424,BGL,Zurndorf
2425,BGL,Nickelsdorf
2431,NOE,Kleinneusiedl
